CIMS.CAN.QC.Chemical Products.Chemical Product.Ammonia Methanol.Ammonia Synthesis,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.QC,Region,QC,Agriculture,,,Service requested,,,CIMS.CAN.QC.Agriculture,,tCO2e,7789000,8192000,8184000,8814000,8839000,8839000,8839000,8839000,8839000,8839000,8839000,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Service provided,,,,,tCO2e,,,,,,,,,,,,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.CAN.QC.Biodiesel,JCIMS,,1.19350482194685,1.46465321016096,1.90670487845667,2.0654226085295,2.13678786487817,2.76619818402384,2.63835267952491,2.51879234111801,2.4271402396353,2.43787395513197,2.44942911720263,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.54586362696434,0.63580249051724,0.82444064804591,0.86497537288625,1.12763837053843,1.27490627331973,1.42323604209101,1.57853961816035,1.63620867905646,1.64808482255341,1.66845193625898,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.CAN.QC.Electricity,CER,,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.CAN.QC.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.99208999735546,0.98038734742852,0.94971664101975,0.97302769575549,1.02223368716669,1.08915229887174,1.16468890250074,1.16361507625045,1.14697779859904,1.12706599918832,1.11023238047718,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.CAN.QC.Hydrogen,JCIMS,,0.99999999982763,0.99999999991568,0.99999999992788,1.00000000009596,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.35830153401502,1.26290831278107,1.29751164160082,1.70041776593181,1.27559389668704,1.06342323407221,1.03554208529608,1.03841903187167,1.03954186286384,1.04342751289796,1.04813729547936,
CIMS.CAN.QC.Agriculture,Sector,QC,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
