,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Pulp and Paper,,,Service requested,,,CIMS.CAN.ON.Pulp and Paper,,tonne,5169492,4528820,3232625,2637105,2502750,2375240,2254226,2139378,2030381.,1926937.,1828763.,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,,,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.CAN.ON.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1.02504943978272,1.11911353386197,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.CAN.ON.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,TODO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.CAN.ON.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.994028726656,0.994028726656,1.03880692236867,1.03946998957831,1.14493447324036,1.24300957755412,1.31987247978851,1.29932911323203,1.28728631008712,1.28084900565428,1.27568990991201,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.CAN.ON.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.12917327936608,1.12917327936608,1.41056247353648,1.51068568529745,1.56602937144051,1.27043442603509,1.21248041822413,1.224850313211,1.2272095656171,1.23525949838765,1.25073087409717,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper,Sector,ON,Pulp and Paper,,,Service requested,,,CIMS.CAN.ON.Pulp and Paper.Paper,,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Pulp and Paper.Paper,Service,ON,Pulp and Paper,Paper,,Service provided,,,,,tonne,,,,,,,,,,,,
CIMS.CAN.ON.Pulp and Paper.Paper,Service,ON,Pulp and Paper,Paper,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
