,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Waste,,,service_request,,,CIMS.CAN.ON.Waste,activity_data_region,tCO2e,7401000,7935000,6998000,7234000,7181000,6829059.5483319,6494367.68063822,6176079.04467909,5873389.71888571,5585535.18184527,5311788.38130124,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,service_provide,,,,activity_data_generic,tCO2e,,,,,,,,,,,,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.CAN.ON.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.CAN.ON.Electricity,CER,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.CAN.ON.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.994028726656,0.99192137073166,1.01992087393457,1.05029024706468,1.14988366440469,1.22563719168813,1.29981821446978,1.2998302908361,1.28801044993406,1.2810197414009,1.27710833827122,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.CAN.ON.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Natural Gas,CER,,1.12917327936608,1.2025467881909,1.33150712374001,1.46563687919243,1.42734863041423,1.28565924491159,1.22675236911126,1.22494908539808,1.22792281128507,1.23554137917233,1.24347751839639,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,multiplier_price,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste,Sector,ON,Waste,,,service_request,,,CIMS.CAN.ON.Waste.Sites,activity_data_generic,tCO2e,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Waste.Sites,Service,ON,Waste,Sites,,service_provide,,,,activity_data_generic,tCO2e,,,,,,,,,,,,
CIMS.CAN.ON.Waste.Sites,Service,ON,Waste,Sites,,competition,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Waste.Sites,Service,ON,Waste,Sites,,service_request,,,CIMS.CAN.ON.Waste.Sites.Large Sites,activity_data_region,tCO2e,0.661625,0.66162522999068,0.66162522999068,0.66162522999068,0.66162522999068,0.66162522999068,0.66162522999068,0.66162522999068,0.66162522999068,0.66162522999068,0.66162522999068,
CIMS.CAN.ON.Waste.Sites,Service,ON,Waste,Sites,,service_request,,,CIMS.CAN.ON.Waste.Sites.Medium Sites,activity_data_region,tCO2e,0.252206,0.25220603942622,0.25220603942622,0.25220603942622,0.25220603942622,0.25220603942622,0.25220603942622,0.25220603942622,0.25220603942622,0.25220603942622,0.25220603942622,
CIMS.CAN.ON.Waste.Sites,Service,ON,Waste,Sites,,service_request,,,CIMS.CAN.ON.Waste.Sites.Small Sites,activity_data_region,tCO2e,0.086169,0.0861687305831,0.0861687305831,0.0861687305831,0.0861687305831,0.0861687305831,0.0861687305831,0.0861687305831,0.0861687305831,0.0861687305831,0.0861687305831,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,,service_provide,,,,activity_data_generic,tCO2e,,,,,,,,,,,,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,,competition,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,,discount_rate_financial,,,,tech_data_generic,%,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,,heterogeneity,,,,tech_data_generic,,22,22,22,22,22,22,22,22,22,22,22,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,Small Sites No Control,technology,,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,Small Sites No Control,available,,,,tech_data_generic,Year,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,Small Sites No Control,unavailable,,,,tech_data_generic,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,Small Sites No Control,lifetime,,,,tech_data_generic,Years,150,150,150,150,150,150,150,150,150,150,150,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,Small Sites No Control,market_share_total,,,,tech_data_region,%,1,,,,,,,,,,,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,Small Sites No Control,output,,,,tech_data_generic,node unit,1125000,1125000,1125000,1125000,1125000,1125000,1125000,1125000,1125000,1125000,1125000,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,Small Sites No Control,capital_recovery,,,,tech_multi_generic,Years,30,30,30,30,30,30,30,30,30,30,30,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,Small Sites No Control,emissions,CH4,Process,,tech_multi_generic,tCH4,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,Small Sites Flaring,technology,,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,Small Sites Flaring,available,,,,tech_data_generic,Year,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,Small Sites Flaring,unavailable,,,,tech_data_generic,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,Small Sites Flaring,lifetime,,,,tech_data_generic,Years,150,150,150,150,150,150,150,150,150,150,150,
CIMS.CAN.ON.Waste.Sites.Small Sites,Service,ON,Waste,Small Sites,Small Sites Flaring,market_share_total,,,,tech_data_region,%,0,,,,,,,,,,,
