,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AT,Region,AT,Transportation Freight,,,Service requested,,,CIMS.CAN.AT.Transportation Freight,,k*tkm,52760806.7439055,60222108.6048357,53718985.7561064,47433619.403906,47351746.7197036,49244446.7663802,51233693.5372621,53324411.885588,55521777.8816069,57831231.6271708,60258490.7239996,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,Service provided,,,,,tkm,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,Price multiplier,,,CIMS.CAN.AT.Biodiesel,JCIMS,,2.28589498029498,1.43760113963645,1.21603224707252,1.2151310423764,1.0818215223735,1.04777625173502,1.04777625173502,1.04777625173502,1.04777625173502,1.04777625173502,1.04777625173502,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,CER,,1.07390921209418,1.06409558226176,1.03806642480413,1.01774293276406,1.02230184756445,1.04718338218137,1.05129080582452,1.0513784483359,1.05156421477022,1.05143418566016,1.0510152408571,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,Price multiplier,,,CIMS.CAN.AT.Electricity,CER,,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,Price multiplier,,,CIMS.CAN.AT.Ethanol,JCIMS,,1.27859974520867,1.23891997684786,1.37297164150595,1.28592388718037,1.16017013736052,1.11773005016576,1.11773005016576,1.11773005016576,1.11773005016576,1.11773005016576,1.11773005016576,
CIMS.CAN.AT.Transportation Freight,Sector,AT,Transportation Freight,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,0.40773593678318,0.47663033903645,0.60071682640095,0.65157117033365,0.70523934594911,0.748722411061,0.77843183390052,0.82072197468997,0.85332916146912,0.8585661996442,0.86891792949011,
