,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.Natural Gas Market,Service,CAN,Natural Gas,,,Service provided,,,,constant_tech,1000 m3,,,,,,,,,,,,
CIMS.CAN.Natural Gas Market,Service,CAN,Natural Gas,,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.Natural Gas Market,Service,CAN,Natural Gas,,,Service requested,,,CIMS.CAN.Natural Gas Market.Supply,annual_region,1000 m3,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.Natural Gas Market,Service,CAN,Natural Gas,,,Service requested,,,CIMS.CAN.Natural Gas Market.Transmission,annual_region,1000 m3,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.Natural Gas Market,Service,CAN,Natural Gas,,,Service requested,,,CIMS.CAN.Natural Gas Market.Distribution,annual_region,1000 m3,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.Natural Gas Market.Supply,Service,CAN,Natural Gas,Supply,,Service provided,,,,constant_tech,1000 m3,,,,,,,,,,,,
CIMS.CAN.Natural Gas Market.Supply,Service,CAN,Natural Gas,Supply,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.Natural Gas Market.Supply,Service,CAN,Natural Gas,Supply,,Service requested,,,CIMS.CAN.BC.Natural Gas.Production.Supply,annual_region,1000 m3,0.12448616634853,0.16047376076959,0.21260965433282,0.24175450942666,0.28836781217074,0.35731984493946,0.42919596197594,0.44391052311346,0.45868334677186,0.46446965307045,0.47020765693015,
CIMS.CAN.Natural Gas Market.Supply,Service,CAN,Natural Gas,Supply,,Service requested,,,CIMS.CAN.AB.Natural Gas.Production.Supply,annual_region,1000 m3,0.80370638877279,0.76271780647654,0.71957770480688,0.70848450588045,0.68419066977725,0.62187349105278,0.55007569592033,0.53664254458395,0.52302863074053,0.51886462076816,0.51460101310055,
CIMS.CAN.Natural Gas Market.Supply,Service,CAN,Natural Gas,Supply,,Service requested,,,CIMS.CAN.SK.Natural Gas.Production.Supply,annual_region,1000 m3,0.04347065008036,0.05020901524312,0.0430225106813,0.03514892307807,0.02642163386395,0.02022691873047,0.0204186531903,0.01927078038235,0.01816976166783,0.01658757813172,0.01513926232235,
CIMS.CAN.Natural Gas Market.Supply,Service,CAN,Natural Gas,Supply,,Service requested,,,CIMS.CAN.MB.Natural Gas.Production.Supply,annual_region,1000 m3,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.Natural Gas Market.Supply,Service,CAN,Natural Gas,Supply,,Service requested,,,CIMS.CAN.ON.Natural Gas.Production.Supply,annual_region,1000 m3,0.00312339763615,0.00135857239974,0.00108835657515,0.00068110996656,0.00042287880968,0.00019594041231,0.00005208001721,0.00000245680089,0.00000011578346,0.00000000103722,0.00000000000929,
CIMS.CAN.Natural Gas Market.Supply,Service,CAN,Natural Gas,Supply,,Service requested,,,CIMS.CAN.QC.Natural Gas.Production.Supply,annual_region,1000 m3,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.Natural Gas Market.Supply,Service,CAN,Natural Gas,Supply,,Service requested,,,CIMS.CAN.AT.Natural Gas.Production.Supply,annual_region,1000 m3,0.01922298010591,0.02190791376427,0.02232254651039,0.01335401228194,0.00029376455127,0.00014575699647,0.00007761325324,0.0000444533501,0.00002543611756,0.00001403192044,0.00000773876013,
CIMS.CAN.Natural Gas Market.Transmission,Service,CAN,Natural Gas,Transmission,,Service provided,,,,constant_tech,1000 m3,,,,,,,,,,,,
CIMS.CAN.Natural Gas Market.Transmission,Service,CAN,Natural Gas,Transmission,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.Natural Gas Market.Transmission,Service,CAN,Natural Gas,Transmission,,Service requested,,,CIMS.CAN.BC.Natural Gas.Production.Transmission,annual_region,1000 m3,0.03866825805056,0.03866825805056,0.03866825805056,0.03866825805056,0.03866825805056,0.03866825805056,0.03866825805056,0.03866825805056,0.03866825805056,0.03866825805056,0.03866825805056,
CIMS.CAN.Natural Gas Market.Transmission,Service,CAN,Natural Gas,Transmission,,Service requested,,,CIMS.CAN.AB.Natural Gas.Production.Transmission,annual_region,1000 m3,0.53136734712319,0.53136734712319,0.53136734712319,0.53136734712319,0.53136734712319,0.53136734712319,0.53136734712319,0.53136734712319,0.53136734712319,0.53136734712319,0.53136734712319,
CIMS.CAN.Natural Gas Market.Transmission,Service,CAN,Natural Gas,Transmission,,Service requested,,,CIMS.CAN.SK.Natural Gas.Production.Transmission,annual_region,1000 m3,0.24394137752329,0.24394137752329,0.24394137752329,0.24394137752329,0.24394137752329,0.24394137752329,0.24394137752329,0.24394137752329,0.24394137752329,0.24394137752329,0.24394137752329,
CIMS.CAN.Natural Gas Market.Transmission,Service,CAN,Natural Gas,Transmission,,Service requested,,,CIMS.CAN.MB.Natural Gas.Production.Transmission,annual_region,1000 m3,0.05545071422144,0.05545071422144,0.05545071422144,0.05545071422144,0.05545071422144,0.05545071422144,0.05545071422144,0.05545071422144,0.05545071422144,0.05545071422144,0.05545071422144,
CIMS.CAN.Natural Gas Market.Transmission,Service,CAN,Natural Gas,Transmission,,Service requested,,,CIMS.CAN.ON.Natural Gas.Production.Transmission,annual_region,1000 m3,0.12138981672382,0.12138981672382,0.12138981672382,0.12138981672382,0.12138981672382,0.12138981672382,0.12138981672382,0.12138981672382,0.12138981672382,0.12138981672382,0.12138981672382,
CIMS.CAN.Natural Gas Market.Transmission,Service,CAN,Natural Gas,Transmission,,Service requested,,,CIMS.CAN.QC.Natural Gas.Production.Transmission,annual_region,1000 m3,0.00277038836812,0.00277038836812,0.00277038836812,0.00277038836812,0.00277038836812,0.00277038836812,0.00277038836812,0.00277038836812,0.00277038836812,0.00277038836812,0.00277038836812,
CIMS.CAN.Natural Gas Market.Transmission,Service,CAN,Natural Gas,Transmission,,Service requested,,,CIMS.CAN.AT.Natural Gas.Production.Transmission,annual_region,1000 m3,0.00641209798959,0.00641209798959,0.00641209798959,0.00641209798959,0.00641209798959,0.00641209798959,0.00641209798959,0.00641209798959,0.00641209798959,0.00641209798959,0.00641209798959,
CIMS.CAN.Natural Gas Market.Distribution,Service,CAN,Natural Gas,Distribution,,Service provided,,,,constant_tech,1000 m3,,,,,,,,,,,,
CIMS.CAN.Natural Gas Market.Distribution,Service,CAN,Natural Gas,Distribution,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.Natural Gas Market.Distribution,Service,CAN,Natural Gas,Distribution,,Service requested,,,CIMS.CAN.BC.Natural Gas.Production.Distribution,annual_region,1000 m3,0.04130759353496,0.03437519009875,0.03688854586572,0.03655553678581,0.04124193702186,0.035411201975,0.035411201975,0.035411201975,0.035411201975,0.035411201975,0.035411201975,
CIMS.CAN.Natural Gas Market.Distribution,Service,CAN,Natural Gas,Distribution,,Service requested,,,CIMS.CAN.AB.Natural Gas.Production.Distribution,annual_region,1000 m3,0.08763610667057,0.09226179359305,0.14190050815657,0.18394894981796,0.20133769478929,0.18500386778492,0.18500386778492,0.18500386778492,0.18500386778492,0.18500386778492,0.18500386778492,
