CIMS.CAN.MB.Mining.Steam,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB.Natural Gas Production,Sector,MB,Natural Gas Production,,,tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,MB,Food Tobacco and Beverage,,,tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Transportation Equipment,Sector,MB,Transportation Equipment,,,tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Natural Gas Production,Sector,MB,Natural Gas Production,,,tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,MB,Food Tobacco and Beverage,,,tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Transportation Equipment,Sector,MB,Transportation Equipment,,,tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Natural Gas Production,Sector,MB,Natural Gas Production,,,tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,MB,Food Tobacco and Beverage,,,tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Transportation Equipment,Sector,MB,Transportation Equipment,,,tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Natural Gas Production,Sector,MB,Natural Gas Production,,,tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,MB,Food Tobacco and Beverage,,,tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Transportation Equipment,Sector,MB,Transportation Equipment,,,tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
