,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,Electric,DIC_initial,,,,,$,5961954.857,5961954.857,5961954.857,5961954.857,5961954.857,5961954.857,5961954.857,5961954.857,5961954.857,5961954.857,5961954.857,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,Electric,DIC_slope,,,,,,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,Electric,DIC_x50,,,,,,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,Electric,DIC_min,,,,,,-46248.1639,-46248.1639,-46248.1639,-46248.1639,-46248.1639,-46248.1639,-46248.1639,-46248.1639,-46248.1639,-46248.1639,-46248.1639,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG Eff CCS,DIC_initial,,,,,$,5961954.857,5961954.857,5961954.857,5961954.857,5961954.857,5961954.857,5961954.857,5961954.857,5961954.857,5961954.857,5961954.857,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG Eff CCS,DIC_slope,,,,,,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,6.0755,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG Eff CCS,DIC_x50,,,,,,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,0.2899,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG Eff CCS,DIC_min,,,,,,-46248.1639,-46248.1639,-46248.1639,-46248.1639,-46248.1639,-46248.1639,-46248.1639,-46248.1639,-46248.1639,-46248.1639,-46248.1639,
CIMS.CAN.BC.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Cracked Gas Oil.Hydrocracking.Cracking,Service,BC,Petroleum Refining,Cracking,Fluidized catalytic cracking CCS,DIC_initial,,,,,$,47695636.79,47695636.79,47695636.79,47695636.79,47695636.79,47695636.79,47695636.79,47695636.79,47695636.79,47695636.79,47695636.79,
