,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AB.Coal Mining,Sector,AB,Coal Mining,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,3,6.83416433308258,10.0321349739947,8.26390067984081,6.77589212708769,5.55794083556033,4.57890617457793,
CIMS.CAN.AB.Natural Gas Production,Sector,AB,Natural Gas Production,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,3,6.83416433308258,10.0321349739947,8.26390067984081,6.77589212708769,5.55794083556033,4.57890617457793,
CIMS.CAN.AB.Petroleum Crude,Sector,AB,Petroleum Crude,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,3,6.83416433308258,10.0321349739947,8.26390067984081,6.77589212708769,5.55794083556033,4.57890617457793,
CIMS.CAN.AB.Petroleum Refining,Sector,AB,Petroleum Refining,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,3,6.83416433308258,10.0321349739947,8.26390067984081,6.77589212708769,5.55794083556033,4.57890617457793,
CIMS.CAN.AB.Industrial Minerals,Sector,AB,Industrial Minerals,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,3,6.83416433308258,10.0321349739947,8.26390067984081,6.77589212708769,5.55794083556033,4.57890617457793,
CIMS.CAN.AB.Chemical Products,Sector,AB,Chemical Products,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,3,6.83416433308258,10.0321349739947,8.26390067984081,6.77589212708769,5.55794083556033,4.57890617457793,
CIMS.CAN.AB.Pulp and Paper,Sector,AB,Pulp and Paper,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,3,6.83416433308258,10.0321349739947,8.26390067984081,6.77589212708769,5.55794083556033,4.57890617457793,
CIMS.CAN.AB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,AB,Food Tobacco and Beverage,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,3,6.83416433308258,10.0321349739947,8.26390067984081,6.77589212708769,5.55794083556033,4.57890617457793,
CIMS.CAN.AB.Light Industrial.Manufacturing.Transportation Equipment,Sector,AB,Transportation Equipment,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,3,6.83416433308258,10.0321349739947,8.26390067984081,6.77589212708769,5.55794083556033,4.57890617457793,
