,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB.Natural Gas,Sector,MB,Natural Gas,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,MB,Food Tobacco and Beverage,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Light Industrial.Manufacturing.Transportation Equipment,Sector,MB,Transportation Equipment,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Natural Gas,Sector,MB,Natural Gas,,,Tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,Tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,MB,Food Tobacco and Beverage,,,Tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Light Industrial.Manufacturing.Transportation Equipment,Sector,MB,Transportation Equipment,,,Tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Tax,CO2,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Natural Gas,Sector,MB,Natural Gas,,,Tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,Tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,MB,Food Tobacco and Beverage,,,Tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Light Industrial.Manufacturing.Transportation Equipment,Sector,MB,Transportation Equipment,,,Tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Tax,CH4,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Natural Gas,Sector,MB,Natural Gas,,,Tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,Tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,MB,Food Tobacco and Beverage,,,Tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Light Industrial.Manufacturing.Transportation Equipment,Sector,MB,Transportation Equipment,,,Tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Tax,N2O,Process,,Govt of Canada,$/tCO2e,0,0,0,0,30,68.3416433308258,100.321349739947,82.639006798408,67.7589212708769,55.5794083556033,45.7890617457793,
