CIMS.CAN.QC.Petroleum Refining.Methane Blend,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.QC,Region,QC,Mining,,,Service requested,,,CIMS.CAN.QC.Mining,activity_data_region,tonne,124175968.972902,114782875.053378,114270106.695971,113757338.338564,131680630.641389,145386056.444427,160517953.973244,177224791.550799,195670490.202359,216036031.985158,238521235.714315,
CIMS.CAN.QC.Mining,Sector,QC,Mining,,,Service provided,,,,activity_data_generic,tonne,,,,,,,,,,,,
CIMS.CAN.QC.Mining,Sector,QC,Mining,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Mining,Sector,QC,Mining,,,Price multiplier,,,CIMS.CAN.QC.Biodiesel,JCIMS,,1.19350482194685,1.46465321016096,1.90670487845667,2.0654226085295,2.13678786487817,2.76619818402384,2.63835267952491,2.51879234111801,2.4271402396353,2.43787395513197,2.44942911720263,
CIMS.CAN.QC.Mining,Sector,QC,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Mining,Sector,QC,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Mining,Sector,QC,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1.02504943978272,1.11911353386197,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,
CIMS.CAN.QC.Mining,Sector,QC,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Mining,Sector,QC,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.46941463221595,0.54675742713965,0.70897653638981,0.74383431407088,0.96971097693871,1.09635379577928,1.22390976473377,1.35746284913295,1.40705527418852,1.41726814651849,1.43478281633184,
CIMS.CAN.QC.Mining,Sector,QC,Mining,,,Price multiplier,,,CIMS.CAN.QC.Electricity,CER,,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,
CIMS.CAN.QC.Mining,Sector,QC,Mining,,,Price multiplier,,,CIMS.CAN.QC.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Mining,Sector,QC,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.99208999735546,0.98038734742852,0.94971664101975,0.97302769575549,1.02223368716669,1.08915229887174,1.16468890250074,1.16361507625045,1.14697779859904,1.12706599918832,1.11023238047718,
CIMS.CAN.QC.Mining,Sector,QC,Mining,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
