,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB,Region,MB,Transportation Personal,,,service_request,,,CIMS.CAN.MB.Transportation Personal,annual_region,k*pkm,16545200.8145259,16476662.2862518,20496998.7134077,21831575.0364053,20490032.8564335,24313520.1609096,25457974.7691357,26685969.5269041,28003830.9592021,29418372.1751798,30936930.772999,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,service_provide,,,,constant_tech,k*pkm,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.CAN.MB.Biodiesel,AFDC 2023,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,CER,,1.01307508318401,1.01223419944481,1.00941447338777,1.00641034448622,1.04268776635708,1.05271344231614,1.05527015652176,1.05572176034258,1.05580764575204,1.05555734217446,1.05521043033649,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.CAN.MB.Electricity,CER,,2,2,2,2,2,2,2,2,2,2,2,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.CAN.MB.Ethanol,AFDC 2023,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Fuel Oil,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Gasoline,CER,,1.01819800153898,1.03203513379802,1.01256263014554,0.96468200784113,0.97874504597462,0.99492439465486,0.99512409623764,0.99913706094438,1.00112374588384,1.00271234500321,1.00385246963677,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.CAN.MB.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1.01612830152709,1.02764993426514,1.06137986351441,1.05509530013184,1.05478263897148,1.05834936980303,1.06071531615146,1.06351779589853,1.06284625258164,1.06284625258164,1.06284625258164,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Natural Gas,AFDC 2023,,0.93478918687278,1.45619559265752,3.73422452192746,7.38948921877485,7.11864544402204,9.57864849058727,9.57864849058727,9.57864849058727,9.57864849058727,9.57864849058727,9.57864849058727,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Propane,JCIMS,,1.83639452761042,1.03075213509631,0.84546196783597,0.68308110082228,0.70235056477968,0.71016069106106,0.71283164421601,0.71295441005376,0.71769761890674,0.71769761890674,0.71769761890674,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,multiplier_price,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal,Sector,MB,Transportation Personal,,,service_request,,,CIMS.CAN.MB.Transportation Personal.Mode,annual_tech,k*pkm,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.MB.Transportation Personal.Mode,Service,MB,Transportation Personal,Mode,,service_provide,,,,constant_tech,k*pkm,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Personal.Mode,Service,MB,Transportation Personal,Mode,,competition,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Personal.Mode,Service,MB,Transportation Personal,Mode,,service_request,,,CIMS.CAN.MB.Transportation Personal.Mode.Urban,annual_region,k*pkm,0.49951202436255,0.49614247381741,0.59554035098051,0.62126479761437,0.60547677877613,0.65757982733727,0.67234550508378,0.68677380417086,0.70084352011688,0.71453584072538,0.72783441407932,
CIMS.CAN.MB.Transportation Personal.Mode,Service,MB,Transportation Personal,Mode,,service_request,,,CIMS.CAN.MB.Transportation Personal.Mode.Intercity Land,annual_region,k*pkm,0.37912575108671,0.38199046708986,0.30649592249712,0.28676005294537,0.29652619064033,0.25983392586668,0.24878088479213,0.23798207271548,0.22745334828605,0.21720877231668,0.20726055732482,
CIMS.CAN.MB.Transportation Personal.Mode,Service,MB,Transportation Personal,Mode,,service_request,,,CIMS.CAN.MB.Transportation Personal.Mode.Intercity Air,annual_region,k*pkm,0.12136222455075,0.12186705909274,0.09796372652237,0.09197514944026,0.09799703058354,0.08258624679605,0.07887361012409,0.07524412311366,0.07170313159707,0.06825538695794,0.06490502859586,
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,,service_provide,,,,constant_tech,k*pkm,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,,competition,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,,discount_rate_financial,,,,constant_tech,%,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,,heterogeneity,,,,constant_tech,,6,6,6,6,6,6,6,6,6,6,6,
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,Walk Cycle Urban,technology,,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,Walk Cycle Urban,available,,,,constant_tech,Year,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,Walk Cycle Urban,unavailable,,,,constant_tech,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,Walk Cycle Urban,lifetime,,,,constant_tech,Years,5,5,5,5,5,5,5,5,5,5,5,
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,Walk Cycle Urban,market_share_total,,,,annual_region_tech,%,0.00890868596882,,,,,,,,,,,
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,Passenger Vehicle Urban SOV,technology,,,,,,,,,,,,,,,,,
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,Passenger Vehicle Urban SOV,available,,,,constant_tech,Year,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,Passenger Vehicle Urban SOV,unavailable,,,,constant_tech,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,Passenger Vehicle Urban SOV,lifetime,,,,constant_tech,Years,10,10,10,10,10,10,10,10,10,10,10,"TODO: Change to lifetime of personal vehicle; assume once you buy a car, you'll stick with it"
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,Passenger Vehicle Urban SOV,market_share_total,,,,annual_region_tech,%,0.46027177740213,,,,,,,,,,,
CIMS.CAN.MB.Transportation Personal.Mode.Urban,Service,MB,Transportation Personal,Urban,Passenger Vehicle Urban SOV,output,,,,constant_tech,node unit,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,
