,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON.Transportation Personal.Mode.Intercity Air,Service,ON,Transportation Personal,Intercity Air,,multiplier_load_factor,,,,Air Canada,person/vehicle,200,200,200,200,200,200,200,200,200,200,200,
CIMS.CAN.ON.Transportation Personal.Transit.Public Bus,Service,ON,Transportation Personal,Public Bus,,multiplier_load_factor,,,,CIMS,person/vehicle,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,
CIMS.CAN.ON.Transportation Personal.Transit.Rapid Transit,Service,ON,Transportation Personal,Rapid Transit,,multiplier_load_factor,,,,Translink,person/vehicle,100,100,100,100,100,100,100,100,100,100,100,
CIMS.CAN.ON.Transportation Personal.Intercity Bus,Service,ON,Transportation Personal,Intercity Bus,,multiplier_load_factor,,,,CIMS,person/vehicle,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,
CIMS.CAN.ON.Transportation Personal.Intercity Rail,Service,ON,Transportation Personal,Intercity Rail,,multiplier_load_factor,,,,Translink,person/vehicle,120,120,120,120,120,120,120,120,120,120,120,
CIMS.CAN.ON.Transportation Freight.Freight.Land.Light Medium,Service,ON,Transportation Freight,Light Medium,,multiplier_load_factor,,,,CIMS,tonne/vehicle,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,
CIMS.CAN.ON.Transportation Freight.Freight.Land.Heavy.Trucks,Service,ON,Transportation Freight,Trucks,,multiplier_load_factor,,,,CIMS,tonne/vehicle,17.0097,17.0097,17.0097,17.0097,17.0097,17.0097,17.0097,17.0097,17.0097,17.0097,17.0097,
CIMS.CAN.ON.Transportation Freight.Freight.Land.Heavy.Rail,Service,ON,Transportation Freight,Rail,,multiplier_load_factor,,,,Rail Assoc Canada,tonne/vehicle,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,
CIMS.CAN.ON.Transportation Freight.Freight.Marine,Service,ON,Transportation Freight,Marine,,multiplier_load_factor,,,,Wikipedia,tonne/vehicle,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,
CIMS.CAN.ON.Transportation Freight.Freight.Air,Service,ON,Transportation Freight,Air,,multiplier_load_factor,,,,Wikipedia,tonne/vehicle,50,50,50,50,50,50,50,50,50,50,50,
CIMS.CAN.ON.Transportation Freight.Off Road,Service,ON,Transportation Freight,Off Road,,multiplier_load_factor,,,,Guess,tonne/vehicle,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Solar PV,dcc_class,Solar PV,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Solar PV,dcc_limit,,,,,%,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Solar PV,dcc_learning_min,,,,,%,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Solar PV,dcc_capacity_1,,,,,MWh,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Solar PV,dcc_progress_ratio_1,,,,,%,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Wind Onshore,dcc_class,Wind,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Wind Onshore,dcc_limit,,,,,%,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Wind Onshore,dcc_learning_min,,,,,%,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Wind Onshore,dcc_capacity_1,,,,,MWh,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Wind Onshore,dcc_progress_ratio_1,,,,,%,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,
CIMS.CAN.ON.Electricity.Utility Generation.Base Load,Service,ON,Electricity,Base Load,Wind Offshore,dcc_class,Wind,,,,,,,,,,,,,,,,
