CIMS.CAN.AT.Petroleum Refining.Methane Blend,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AT,Region,AT,Metal Smelting,,,service_request,,,CIMS.CAN.AT.Metal Smelting,activity_data_region,tonne,541176.833458903,474914.11078299,519939.828069977,519939.828069977,519939.828069977,519939.828069977,519939.828069977,519939.828069977,519939.828069977,519939.828069977,519939.828069977,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,service_provide,,,,activity_data_generic,tonne,,,,,,,,,,,,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.CAN.AT.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1.02504943978272,1.11911353386197,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.CAN.AT.Electricity,CER,,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.CAN.AT.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.00384190278173,0.99646288550503,0.98699101901943,0.96385466582835,0.9536059657598,0.91278192103617,0.8772822357015,0.87513862673514,0.88476647517012,0.89501420276445,0.90018147729967,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.CAN.AT.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Natural Gas,CER,,1.24940890038859,1.2816526495917,1.35994008939995,1.31264190533251,1.11333005919353,1.00702147268017,0.93906734216933,0.94226096490713,0.95310862495077,0.96725759607783,0.97859564345867,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,multiplier_price,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting,Sector,AT,Metal Smelting,,,service_request,,,CIMS.CAN.AT.Metal Smelting.Primary Metals,activity_data_generic,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting.Primary Metals,Service,AT,Metal Smelting,Primary Metals,,service_provide,,,,activity_data_generic,tonne,,,,,,,,,,,,
CIMS.CAN.AT.Metal Smelting.Primary Metals,Service,AT,Metal Smelting,Primary Metals,,competition,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Metal Smelting.Primary Metals,Service,AT,Metal Smelting,Primary Metals,,service_request,,,CIMS.CAN.AT.Metal Smelting.Primary Metals.Aluminum,activity_data_region,tonne,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Metal Smelting.Primary Metals,Service,AT,Metal Smelting,Primary Metals,,service_request,,,CIMS.CAN.AT.Metal Smelting.Primary Metals.Copper,activity_data_region,tonne,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Metal Smelting.Primary Metals,Service,AT,Metal Smelting,Primary Metals,,service_request,,,CIMS.CAN.AT.Metal Smelting.Primary Metals.Lead,activity_data_region,tonne,0.43152374637223,0.39892072643651,0.39892072643651,0.39892072643651,0.39892072643651,0.39892072643651,0.39892072643651,0.39892072643651,0.39892072643651,0.39892072643651,0.39892072643651,
CIMS.CAN.AT.Metal Smelting.Primary Metals,Service,AT,Metal Smelting,Primary Metals,,service_request,,,CIMS.CAN.AT.Metal Smelting.Primary Metals.Magnesium,activity_data_region,tonne,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Metal Smelting.Primary Metals,Service,AT,Metal Smelting,Primary Metals,,service_request,,,CIMS.CAN.AT.Metal Smelting.Primary Metals.Nickel,activity_data_region,tonne,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Metal Smelting.Primary Metals,Service,AT,Metal Smelting,Primary Metals,,service_request,,,CIMS.CAN.AT.Metal Smelting.Primary Metals.Titanium,activity_data_region,tonne,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Metal Smelting.Primary Metals,Service,AT,Metal Smelting,Primary Metals,,service_request,,,CIMS.CAN.AT.Metal Smelting.Primary Metals.Zinc,activity_data_region,tonne,0.56847625362777,0.60107927356349,0.60107927356349,0.60107927356349,0.60107927356349,0.60107927356349,0.60107927356349,0.60107927356349,0.60107927356349,0.60107927356349,0.60107927356349,
CIMS.CAN.AT.Metal Smelting.Primary Metals.Aluminum,Service,AT,Metal Smelting,Aluminum,,service_provide,,,,activity_data_generic,tonne,,,,,,,,,,,,
CIMS.CAN.AT.Metal Smelting.Primary Metals.Aluminum,Service,AT,Metal Smelting,Aluminum,,competition,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.AT.Metal Smelting.Primary Metals.Aluminum,Service,AT,Metal Smelting,Aluminum,,service_request,,,CIMS.CAN.AT.Metal Smelting.Primary Metals.Aluminum.Primary Aluminum,activity_data_region,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.AT.Metal Smelting.Primary Metals.Aluminum,Service,AT,Metal Smelting,Aluminum,,service_request,,,CIMS.CAN.AT.Metal Smelting.Primary Metals.Aluminum.Recycle,activity_data_region,tonne,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.AT.Metal Smelting.Primary Metals.Aluminum,Service,AT,Metal Smelting,Aluminum,,service_request,,,CIMS.CAN.AT.Metal Smelting.HVAC,activity_data_region,GJ,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,
CIMS.CAN.AT.Metal Smelting.Primary Metals.Aluminum,Service,AT,Metal Smelting,Aluminum,,service_request,,,CIMS.CAN.AT.Metal Smelting.Lighting,activity_data_region,GJ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
CIMS.CAN.AT.Metal Smelting.Primary Metals.Aluminum.Primary Aluminum,Service,AT,Metal Smelting,Primary Aluminum,,service_provide,,,,activity_data_generic,tonne,,,,,,,,,,,,
CIMS.CAN.AT.Metal Smelting.Primary Metals.Aluminum.Primary Aluminum,Service,AT,Metal Smelting,Primary Aluminum,,competition,Fixed Ratio,,,,,,,,,,,,,,,,
